Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Malhada dos Bois;2803807;malhadense;AUGUSTO CESAR AGUIAR DINIZIO;63.199;3579;56.63;97.5;0.599;;40128611.55;33738996.73;14201.78
Malhador;2803906;malhadorense;FRANCISCO DE ASSIS ARAÚJO JÚNIOR;101.888;11533;113.19;97.6;0.587;32;60623824.05;59225061.91;13651.02
Maruim;2804003;maruinense;GILBERTO MAYNART DE OLIVEIRA;95.554;15719;164.5;98.3;0.618;4.33;100712771.08;92468879.55;25877.99
Moita Bonita;2804102;moitabonitense;VAGNER COSTA DA CUNHA;95.416;11050;115.81;96.8;0.587;63.06;64133155.28;59523922.4;18173.42
Monte Alegre de Sergipe;2804201;montealegrense;MARINEZ SILVA PEREIRA LINO;386.912;14336;37.05;96.2;0.553;12.93;71422282.97;70209426.95;14296.61
Muribeca;2804300;muribequense;MARIO CESAR DA SILVA CONSERVA;74.31;7822;105.26;99;0.626;63.16;43030333.48;39376721.47;12630.39
Neópolis;2804409;neopolense;CÉLIO LEMOS BEZERRA;271.323;16426;60.54;92.9;0.589;5.15;80870115.58;76640672.7;17710.07
Nossa Senhora Aparecida;2804458;aparecidense;JEANE DE JESUS BARRETO;340.772;9232;27.09;96.8;0.577;9.52;45114905.36;40041859.03;12457.55
Nossa Senhora da Glória;2804508;gloriense;LUANA MICHELE DE OLIVEIRA SILVA CACHO;758.429;41212;54.34;98;0.587;13.61;177924294.88;176087183.7;20967.52
Nossa Senhora das Dores;2804607;dorense;LUIZ MÁRIO PEREIRA DE SANTANA;482.412;24996;51.81;98.1;0.6;21.41;123578051.37;112111891.6;15422.2
Nossa Senhora de Lourdes;2804706;lourdense;LAERTE GOMES DE ANDRADE;83.767;6268;74.83;98;0.598;11.63;33685535.52;29651776.6;14005.97
Nossa Senhora do Socorro;2804805;socorrense;INALDO LUIS DA SILVA;155.018;192330;1240.69;96.4;0.664;21.02;606096038.41;599069750.9;17219.66
Pacatuba;2804904;pacatubense;MANUELLA ALMEIDA MARTINS;381.428;12502;32.78;97.4;0.555;11.49;186278469.04;86144030.39;16153.08
Pedra Mole;2805000;pedramolense;JOSE AUGUSTO DE ANDRADE;82.211;2778;33.79;96.5;0.593;;30916795.8;29304524.95;14509.43
Pedrinhas;2805109;pedrinhense;FRANCECLEIDE LIMA SANTOS SOUZA;33.344;7396;221.81;97.5;0.592;31.25;52509154.31;48829895.37;10171.24
Pinhão;2805208;pinhãoense;CHARLES WAGNER NUNES OLIVEIRA;156.373;5677;36.3;97;0.583;12.2;36806845.26;34983557.92;13712.8
