Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Dom Viçoso;3122801;domviçosense;FRANCISCO ROSINEI PINTO;113.921;3095;27.17;98;0.687;;27357298.25;25272323.41;13052.06
Dona Euzébia;3122900;donaeuzebense ou donaeuzebiense;MANOEL FRANKLIN RODRIGUES;70.231;6093;86.76;98.7;0.701;55.56;36188889.67;34854747.47;16492.38
Dores de Campos;3123007;dorense;MARCIO ANTÔNIO PINHEIRO;124.842;10007;80.16;99.2;0.686;32.97;52556469.03;47624815;31116.02
Dores de Guanhães;3123106;dorense;WELERSON ÚLTIMO DE SOUZA;382.124;5029;13.16;97.9;0.636;;39479393.77;38284098.44;37105.01
Dores do Indaiá;3123205;dorense;ALEXANDRO COÊLHO FERREIRA;1111.202;12630;11.37;97.2;0.719;;80373805.48;79546499.86;26339.03
Dores do Turvo;3123304;dorense;VALDIR RIBEIRO DE BARROS;231.169;4987;21.57;97.8;0.629;;31416251.32;25968213.27;15908.49
Doresópolis;3123403;doresopolitano;ELITON LUIZ MOREIRA;152.912;1461;9.55;96.5;0.692;;27930451.4;25583398.34;54667.85
Douradoquara;3123502;douradoquarense;FLAVIO RESENDE DE SOUSA;312.878;1829;5.85;98.6;0.706;;28097368.29;24552007.21;41427.06
Durandé;3123528;durandeense;JOSE ELIAS RODRIGUES PEREIRA;217.461;7817;35.95;95.1;0.645;7.58;38590748.46;35649371.4;15560.07
Elói Mendes;3123601;elóimendense;PAULO ROBERTO BELATO CARVALHO;499.537;26336;52.72;97.3;0.685;12.78;117392268.16;112436197.8;24720.9
Engenheiro Caldas;3123700;engenheirocaldense;SAMUEL DUTRA JUNIOR;187.058;13622;72.82;97.4;0.644;18.02;68505177.54;65358826.85;13936.2
Engenheiro Navarro;3123809;navarrense;HUGO FELIPE DE ALMEIDA SILVA;608.306;6354;10.45;98.6;0.655;;45158381.52;40750500.29;12715.66
Entre Folhas;3123858;entrefolhense;AILTON SILVEIRA DIAS;85.39;5179;60.65;97.8;0.634;;39462741.63;29337455.66;12061.39
Entre Rios de Minas;3123908;entrerrianos;JOSE WALTER RESENDE AGUIAR;456.796;14746;32.28;99.6;0.672;16.95;72948367.42;65298721.82;17481.31
Ervália;3124005;ervalense;ELOISIO ANTÔNIO DE CASTRO;357.489;20255;56.66;93.6;0.625;17.54;91764215.48;86378710.24;21529.87
Esmeraldas;3124104;esmeraldense;MARCELO NONATO FIGUEIREDO;909.727;85598;94.09;97.3;0.671;11.32;318706319.25;247998720.6;13419.92
Espera Feliz;3124203;esperafelicense;MAURELIO CARLOS DA SILVA;317.638;24102;75.88;96.9;0.663;9.15;109311602.49;102774076.5;16254.21
Espinosa;3124302;espinosense;MILTON BARBOSA LIMA;1868.97;30443;16.29;95.7;0.627;13.19;129801186.07;119699478.9;11517.31
Espírito Santo do Dourado;3124401;douradense;ADALTO LUIS LEAL;263.879;6611;25.05;99.1;0.685;;39762614.28;36435135.29;25854.33
Estiva;3124500;estivense;VAGNER ABILIO BELIZARIO;243.872;11502;47.16;95.6;0.691;8.26;58534977.08;54133947.35;52723.75
Estrela Dalva;3124609;estreladalvense;DIEGO COUTINHO DA COSTA;131.365;2186;16.64;98.1;0.71;100;28646559.24;24102255.39;18586.66
Estrela do Indaiá;3124708;estrelense;WESLEY DANIEL RIBEIRO ARAUJO;635.981;2772;4.36;97.3;0.676;;26348052.49;29346696.06;47456.81
Estrela do Sul;3124807;estrelasulense;DAYSE MARIA SILVA GALANTE;822.454;6840;8.32;96.7;0.696;16.13;51548365.33;59659399.98;43679.34
Eugenópolis;3124906;eugenopolense;JUAREZ LUIZ BREIJÃO;309.395;10801;34.91;97.6;0.675;9.09;52194601.7;47220542.06;19487.85
Ewbank da Câmara;3125002;ewbanquense;JOSÉ MARIA NOVATO;103.834;3875;37.32;96.9;0.676;15.38;40253191.75;40075032.99;13825.96
Extrema;3125101;extremense;JOÃO BATISTA DA SILVA;244.575;53482;218.67;97.5;0.732;16.11;637856015.46;549994711.2;362591.97
Fama;3125200;famense;OSMAIR LEAL DOS REIS;86.024;2578;29.97;99;0.717;;27951134.13;23863425.47;24698.85
Faria Lemos;3125309;farialemense;GILBERTO DAMAS DE SOUSA;165.224;3188;19.3;98;0.687;;30736284.19;27480062.26;20105.49
