Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Centenário;1704105;centenarense;FOCILIDES CARVALHO SILVA;1953.134;2131;1.09;97.5;0.569;66.67;18874400.5;18093744.82;21765.64
Chapada de Areia;1704600;chapadareiense;ADAUTO MENDES DE OLIVEIRA;658.564;1501;2.28;97.7;0.619;;21936312.5;19398485.99;28144.1
Chapada da Natividade;1705102;chapadense;ELIO DIONÍZIO DE SANTANA;1640.833;3117;1.9;96.1;0.62;;23841631.49;23124297.28;44736.71
Colinas do Tocantins;1705508;colinense;JOSEMAR CARLOS CASARIN;842.488;34233;40.63;97.7;0.701;11.74;208401408.34;183437168.5;23769.37
Combinado;1705557;combinadense;LINDOLFO DO PRADO NETO;208.791;4756;22.78;98.6;0.697;;25728954.18;22063320.94;15713.45
Conceição do Tocantins;1705607;conceicionense;JOÃO PAULO FERNANDES COSTA;2530.647;3887;1.54;97.9;0.592;38.46;34140984.52;30310958.5;16665.58
Couto Magalhães;1706001;coutoense;JÚLIO CÉSAR RAMOS BRASIL;1584.196;5331;3.37;96.3;0.605;15.38;38792900.7;35970323.49;35759.76
Cristalândia;1706100;cristalandense;WILSON JUNIOR DE CARVALHO;1850.75;6371;3.44;97.9;0.673;27.4;41427632.58;37813556.67;24393.72
Crixás do Tocantins;1706258;crixaense;ANA FLÁVIA ALVES SILVEIRA MONTEIRO;983.766;1470;1.49;100;0.644;;21738811.62;20935328.07;44965.53
Darcinópolis;1706506;darcinopolino;JACKSON SOARES MARINHO;1641.77;5827;3.55;93.5;0.581;19.61;28708209.44;27786056.41;38709.07
Dianópolis;1707009;dianopolino;JOSÉ SALOMÃO JACOBINA AIRES;3318.094;17739;5.35;97.4;0.701;24.05;120244114.89;94310147.06;28401.58
Divinópolis do Tocantins;1707108;divinopolino;FLAVIO RODRIGUES SILVA;2358.282;7024;2.98;97.5;0.683;11.49;47772487.04;42253911.47;35676.38
Dois Irmãos do Tocantins;1707207;doisirmanense;GECIRAN SARAIVA SILVA;3747.645;6327;1.69;91.4;0.583;24.39;83078887.57;57881523.39;30133.74
Dueré;1707306;duerense;VALDENÍ PEREIRA DE CARVALHO;3420.657;4248;1.24;96.8;0.679;;37484058.81;32540180.03;43697.08
Esperantina;1707405;esperantinense;ARMANDO ALENCAR DA SILVA;506.175;7530;14.88;97.6;0.57;25.42;44767437.36;42516907.1;10525.18
Fátima;1707553;fatimense;JOSÉ ANTONIO SANTOS ANDRADE;380.373;3467;9.11;98.3;0.697;;27488746.16;29586242.27;23300.23
Figueirópolis;1707652;figueiropolense;JAKELINE PEREIRA DOS SANTOS;1935.709;5211;2.69;97.9;0.689;;39803886.3;36035951.99;49167.4
Filadélfia;1707702;filadelfiense;DAVID SOUSA BENTO;1991.258;7712;3.87;96;0.621;;42481246.89;41270000.57;14543.77
Formoso do Araguaia;1708205;formosense do araguaia;HENO RODRIGUES DA SILVA;13431.861;18881;1.41;97.6;0.67;10.79;106729031.99;88859220.76;77025.73
Tabocão;1708254;tabocoense;WAGNER TEIXEIRA DE FARIAS;624.463;3455;5.53;97.2;0.659;;30819841.43;28921063.84;89062.14
Goianorte;1708304;goianortense;MARIA DE JESUS AMARO DE OLIVEIRA PARENTE;1797.229;4738;2.64;98.9;0.621;;54143796;81879756.15;37675.68
Goiatins;1709005;goiatinense;MANOEL NATALINO PEREIRA SOARES;6414.846;12433;1.94;94.3;0.576;34.04;69206967.29;63835362.43;17535.44
Guaraí;1709302;guaraiense;MARIA DE FATIMA COELHO NUNES;2106.753;24775;11.76;98.6;0.741;18.18;137259094.8;119281230.1;33344.81
Gurupi;1709500;gurupiense;JOSINIANE BRAGA NUNES;1844.164;85125;46.16;96.1;0.759;6.43;469059288.64;430605640.1;29950.02
Ipueiras;1709807;ipueirense;CAIO AUGUSTO SIQUEIRA DE ABREU RIBEIRO;821.152;1590;1.94;98.7;0.62;;20210750.81;18081191.27;22879.08
Itacajá;1710508;itacajaense;MARIA APARECIDA LIMA ROCHA COSTA;3047.204;6819;2.24;94.8;0.612;16.81;46734969.09;43840942.84;24931.04
Itaguatins;1710706;itaguatinense;MARIA IVONEIDE MATOS BARRETO;730.163;5172;7.08;95;0.616;15.63;33151616.12;33216102.75;14240.76
Itapiratins;1710904;itapiratinense;SANDRO RODRIGUES DE SOUZA;1246.349;3577;2.87;97.1;0.601;;31903875.84;28555427.09;44971.71
Itaporã do Tocantins;1711100;itaporanense;JOSE REZENDE SILVA;969.794;2404;2.48;97.3;0.65;;25674435.26;23252793.76;29013.31
Jaú do Tocantins;1711506;jauense;LUCIENE LOURENÇO DE ARAUJO;2167.201;3334;1.54;99;0.662;29.41;34117864.67;30086344.37;25054.97
Juarina;1711803;juarinense;MANOEL FERREIRA LIMA;483.452;2243;4.64;95.4;0.584;28.57;23557642.64;20945569.58;20420.86
Lagoa da Confusão;1711902;lagoense;THIAGO SOARES CARLOS;10563.181;15288;1.45;88.5;0.627;19.23;84692567.93;87788302.85;71373.6
Lagoa do Tocantins;1711951;lagoense do tocantins;LEANDRO FERNANDES SOARES;917.632;3516;3.83;97.8;0.579;;29001595.18;26978164.53;20006.44
Lajeado;1712009;lajeadense;ANTONIO LUIZ BANDEIRA JUNIOR;318.292;3357;10.55;95.5;0.675;23.26;51434627.69;42880967.08;20132.79
Lavandeira;1712157;lavandeirense;ROBERTO CESAR FERREIRA DE OLIVEIRA;468.006;1626;3.47;97.9;0.66;86.96;24255750.58;22779709.76;19087.53
Lizarda;1712405;lizardense;SUELENE LUSTOSA MATOS;5716.641;2999;0.52;95.9;0.57;22.73;25163485.27;23973261.19;17797.6
Luzinópolis;1712454;luzinopolino;JOÃO MIGUEL CASTILHO LANÇA REI DE MARGARIDO;281.543;2717;9.65;99;0.639;;24114701.5;23960945.7;22243.61
Marianópolis do Tocantins;1712504;marianopolino;ISAIAS DIAS PIAGEM;2089.575;4615;2.21;98.5;0.631;12.99;38617751.45;36272530.08;47323.84
Mateiros;1712702;mateirense;JOÃO MARTINS NETO;9589.273;2748;0.29;95.8;0.607;40.82;31037508.55;25497577.93;91006.23
Maurilândia do Tocantins;1712801;maurilandense;RAFAEL MARACAIPE DE ALMEIDA;736.303;3095;4.2;97.9;0.58;28.57;38153976.54;29939295.3;16112.55
Miracema do Tocantins;1713205;miracemense;CAMILA FERNANDES DE ARAÚJO;2663.745;18566;6.97;97.1;0.684;18.52;95562371.06;82937735.91;36419.5
Miranorte;1713304;miranortense;ANTONIO CARLOS MARTINS REIS;1033.301;12701;12.29;97;0.662;26.32;70390729.35;60619999.3;28804.15
Monte do Carmo;1713601;carmelito;ARQUIVARDES AVELINO RIBEIRO;3601.205;5694;1.58;94.3;0.622;28.99;47373460.72;41142924.66;36212.17
Monte Santo do Tocantins;1713700;montesantense;NEZITA MARTINS NETA;1072.92;2396;2.23;97.3;0.62;;28943338.25;25248458.03;32455.42
Palmeiras do Tocantins;1713809;palmeirense;FRANCISCO NOLETO JUNIOR;743.407;4872;6.55;97.1;0.628;;47831400.46;38076008.37;13961.56
Muricilândia;1713957;muricilandense;ALESSANDRO GONÇALVES BORGES;1194.368;3367;2.82;96.1;0.596;;27730810.71;24702917.79;19173.33
Natividade;1714203;nativitano;THIAGO JAYME RODRIGUES DE CERQUEIRA;3241.672;8754;2.7;97.8;0.673;18.18;46616204.95;45721014.33;26722.15
Nazaré;1714302;nazareno;CLAYTON PAULO RODRIGUES;395.997;4521;11.42;98.6;0.643;32.79;29138932.72;26228578.71;15413.41
Nova Olinda;1714880;novaolindense;JESUS EVARISTO CARDOSO;1567.834;10367;6.61;95.3;0.631;24.24;62764425.66;58538737.29;26661.49
Nova Rosalândia;1715002;rosalandense;ENOQUE PORTILIO CARDOSO;514.791;3362;6.53;98.2;0.661;;27408255.76;23835843.95;23209.5
Novo Acordo;1715101;novoacordino;DEUSANY BATISTA DE CASTRO;2678.262;3969;1.48;96.4;0.639;12.05;33252569.38;29375653.8;19038.97
Novo Alegre;1715150;novoalegrense;FERNANDO PEREIRA GOMES;200.412;1846;9.21;99;0.699;90.91;24502815.16;22152589.39;15232.02
Novo Jardim;1715259;novojardinense;JOSE VIEIRA NEVES;1213.893;2230;1.84;97.8;0.596;;21519600.76;20911927.16;15416.09
Oliveira de Fátima;1715507;oliverense;NEREU FONTES DA LUZ;209.292;1164;5.56;98;0.675;;18339707.31;17819596.34;26217.62
Palmeirante;1715705;palmeirantense;RAIMUNDO BRANDAO DOS SANTOS;2638.465;4798;1.82;93.6;0.571;48.39;48291096.07;45856503.95;29731.96
Palmeirópolis;1715754;palmeiropolitano;BARTOLOMEU MOURA JUNIOR;1708.981;6975;4.08;98;0.673;;52045302.89;47000032.32;22110.47
Paraíso do Tocantins;1716109;paraisense;CELSO SOARES RÊGO MORAIS;1292.267;52360;40.52;98.4;0.764;6.58;261430075.27;223430867.2;28820.73
Paranã;1716208;paranãense;PHABIO AUGUSTUS DA SILVA MOREIRA;11217.373;10542;0.94;95.4;0.595;28.37;54342720.66;52727744.46;30250.98
Pau D'Arco;1716307;pau d’arquense;JOÃO BATISTA NETO;1375.551;4043;2.94;98;0.661;20;26951299.42;25611984.67;18663.11
Pedro Afonso;1716505;pedro afonsino;JOAQUIM MARTINS PINHEIRO FILHO;2019.556;14055;6.96;97.4;0.732;27.03;85747706.98;78095990.87;60775.63
Peixe;1716604;peixense;AUGUSTO CEZAR PEREIRA DOS SANTOS;5303.612;9317;1.76;96.1;0.674;24.39;68487563.45;60522354.94;61181.18
Pequizeiro;1716653;pequizeirense;JOCELIO NOBRE DA SILVA;1206.118;4921;4.08;99.4;0.627;31.25;38925342.95;36195753.99;19402.49
Colméia;1716703;colmeiense;JOCTÃ JOSE DOS REIS;1161.03;8941;7.7;98.3;0.671;;37396649.49;33662965.86;22628.82
Pindorama do Tocantins;1717008;pindoramense;THIAGO TAPAJOS ALVES DE OLIVEIRA;1560.551;4478;2.87;95;0.605;32.26;44189272.42;37277897.66;19258.19
Piraquê;1717206;piraquêense;SILVINO OLIVEIRA DE SOUSA;1363.412;2282;1.67;99;0.621;;27014561.26;21391359.28;29605.14
Pium;1717503;piuense;VALDEMIR OLIVEIRA BARROS;10003.549;7128;0.71;92.8;0.65;;44731543.22;44753903.42;46221.52
Ponte Alta do Bom Jesus;1717800;pontealtense;JOSE LUCIANO AZEVEDO CARLOS;1718.791;4220;2.46;96.7;0.603;;31018296.33;24593484.22;14426.13
Ponte Alta do Tocantins;1717909;pontealtense do tocantins;KLEBER RODRIGUES DE SOUSA;6542.838;7586;1.16;95;0.624;19.23;38762352.64;33399658.52;14791.31
Porto Alegre do Tocantins;1718006;portoalegrense;RENNAN NUNES CERQUEIRA;506.717;2866;5.66;98.5;0.645;54.05;24330862.54;21549237.91;14700.83
Porto Nacional;1718204;portuense;RONIVON MACIEL GAMA;4434.68;64418;14.53;98.3;0.74;15.61;373712586.94;322446159.7;68063.36
Praia Norte;1718303;praianortense;HO CHE MIN SILVA DE ARAUJO;300.999;9044;30.05;96.8;0.583;;43147610.98;41250444.14;10876.87
Presidente Kennedy;1718402;kenediense;JOÃO BATISTA ALVES CAVALCANTE;771.716;3047;3.95;98.6;0.669;;27777552.33;23540271.33;17765.89
Pugmil;1718451;pugmilense;DIRCINEU FRANCISCO BOLINA;401.174;2193;5.47;97.5;0.669;;25308735.85;27799489.01;30103.17
Recursolândia;1718501;recursolandense;CARLOS VINICIUS BARBOSA DA SILVA;2215.669;3421;1.54;91.7;0.5;;26511418.34;25230700.32;20842.97
Riachinho;1718550;riachiense;RONAILDO BANDEIRA DA CRUZ;512.156;3960;7.73;98.2;0.572;;32227238.19;27256481.02;14511.21
Rio da Conceição;1718659;conceiçãoense;EDINALVA OLIVEIRA FERREIRA RAMOS;845.823;1768;2.09;98.5;0.608;;26045561.45;23369393.41;13180.67
Rio dos Bois;1718709;rioboiense;MOACIR DE OLIVEIRA LOPES;847.255;2738;3.23;98.1;0.616;;26172352.17;24548589.04;29846.56
Rio Sono;1718758;riosonense;ITAIR GOMES MARTINS;6346.279;4841;0.76;96.1;0.6;15.87;32110384.73;33706506.68;17150.42
Sampaio;1718808;sampaiense;ARMINDO CAYRES DE ALMEIDA;222.435;4215;18.95;98.4;0.606;12.2;33519277.54;27655086.04;29914.52
Sandolândia;1718840;sandolandense;RADILSON PEREIRA LIMA;3535.135;3723;1.05;98.7;0.659;15.87;33620102.24;29426957.28;34629.51
Santa Fé do Araguaia;1718865;santaféense;VICENÇA VIEIRA DANTAS LINO DA SILVA;1671.239;7216;4.32;92.4;0.616;8.26;41402286.76;35338939.09;22913.12
Santa Maria do Tocantins;1718881;santamarinense;ITAMAR BARRACHINI;1412.318;2680;1.9;98;0.634;;25914037.13;22486423.12;39477.03
Santa Rita do Tocantins;1718899;santa ritense;NEILA MARIA DA SILVA MORAES;3281.219;2219;0.68;94.9;0.651;;36042187.61;30592603.55;74895.13
Santa Rosa do Tocantins;1718907;santa rosense;LEVI TEIXEIRA DE OLIVEIRA;1804.687;4653;2.58;97;0.595;27.4;42237274.68;37848894.19;63257.61
Santa Tereza do Tocantins;1719004;santa terezense;ANTONIO DA SILVA CAMPOS;539.511;2781;5.15;97;0.662;20;20535808.13;20337575.64;16427.06
Santa Terezinha do Tocantins;1720002;terezinense do tocantins;WANDERLEY SOUSA SANTOS;274.104;2406;8.78;98.4;0.637;28.57;23101454.75;21161657.76;16573.51
São Bento do Tocantins;1720101;são bentense;PAULO WANDERSON DE SOUSA DAMASCENO;1099.58;5654;5.14;96.5;0.605;;41852233.76;40168841.36;13485.35
São Félix do Tocantins;1720150;são felense;CARLOS IRAEL RIBEIRO DOS REIS;1913.11;1783;0.93;94;0.574;;17738683.44;17811041.31;22696.11
São Miguel do Tocantins;1720200;são miguelense;ALBERTO LOIOLA GOMES MOREIRA;406.957;13241;32.54;98.9;0.623;6.9;64085879.83;59954129.24;20555.57
São Salvador do Tocantins;1720259;são salvadorense;EDMAR JOSE DA CRUZ;1424.753;2385;1.67;98.9;0.605;;31177915.17;28437239.2;15926.43
