Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Primavera;2611408;primaverense;DAYSE JULIANA DOS SANTOS;113.135;13838;122.31;96.7;0.58;6.33;64172017.73;57179581.42;19151.45
Quipapá;2611507;quipapaense;ALVARO PORTO DE BARROS FILHO;230.617;17928;77.74;97.2;0.552;22.73;88179919.42;93614418.5;7310.24
Quixaba;2611533;quixabense;JOSÉ PEREIRA NUNES;210.705;6554;31.11;99.2;0.577;12.35;51477669.67;55791094.75;9868.19
Recife;2611606;recifense;JOAO HENRIQUE DE ANDRADE LIMA CAMPOS;218.843;1488920;6803.6;97.1;0.772;10.93;8255113251.47;7980646400;33094.37
Riacho das Almas;2611705;riachense;DIOCLÉCIO ROSENDO DE LIMA FILHO;314.003;20639;65.73;93.4;0.57;15.33;104044790.97;97040629.04;12560.89
Ribeirão;2611804;ribeirãoense;MARCELLO CAVALCANTI DE PETRIBU DE ALBUQUERQUE MARANHAO;289.566;33507;115.71;92.9;0.602;7.58;148703008.97;158419794.2;12055.44
Rio Formoso;2611903;rioformosense;ISABEL CRISTINA ARAUJO HACKER;227.458;20009;87.97;89.5;0.613;21.82;107626018.48;110008598;16015.49
Sairé;2612000;saireense;GILDO PONTES DE ARRUDA;190.455;10887;57.16;97.7;0.585;8.93;55736427.08;51639167.39;18356.8
Salgadinho;2612109;salgadinense;JOSE SOARES DA FONSECA;87.217;5727;65.66;87.6;0.534;;54844294.83;47951479.59;7217.62
Salgueiro;2612208;salgueirense;MARCONES LIBÓRIO DE SÁ;1678.564;62372;37.16;96.7;0.669;10.68;236629840.22;229781156.2;16278.25
Saloá;2612307;saloaense;RIVALDO ALVES DE SOUZA JUNIOR;251.549;13836;55;97.4;0.559;11.11;80537279.36;84987950.66;10771.47
Sanharó;2612406;sanharoense;CESAR AUGUSTO DE FREITAS;268.065;18624;69.48;93.2;0.603;15.94;101914909.18;90288491.05;9091.27
Santa Cruz;2612455;santacruzense;ELIANE MARIA DA SILVA SOARES;1245.983;13841;11.11;97.5;0.549;14.78;84706287.4;80700262.55;8501.98
Santa Cruz da Baixa Verde;2612471;santacruzense;JOSE IRLANDO DE SOUZA LIMA;114.932;11567;100.64;97.8;0.612;6.9;63583024.05;64403045.47;8935.61
Santa Cruz do Capibaribe;2612505;santacruzense;FÁBIO QUEIROZ ARAGÃO;335.309;98254;293.03;95.7;0.648;16.24;375375267.22;340562068.3;17222.96
Santa Filomena;2612554;filomense;PEDRO GILDEVAN COELHO MELO;1005.341;12106;12.04;97;0.533;12.42;65583901.59;62500095.49;7636.03
Santa Maria da Boa Vista;2612604;boavistense;GEORGE RODRIGUES DUARTE;3000.774;40578;13.52;97.4;0.59;15.18;180125301.01;192356895.2;13344.05
Santa Maria do Cambucá;2612703;santamariense;NELSON SEBASTIAO DE LIMA;92.148;14013;152.07;96.4;0.548;29.24;64923881.71;60538291.63;8545
Santa Terezinha;2612802;santaterezinhense;ADEILSON LUSTOSA DA SILVA;200.327;10244;51.14;97.8;0.593;7.81;59074233.2;57872107.8;9637.75
São Benedito do Sul;2612901;sãobeneditense;CLAUDIO JOSE GOMES DE AMORIM JUNIOR;160.477;13113;81.71;83.7;0.53;7.3;60847924.84;55718579.61;7205.9
São Bento do Una;2613008;sãobentense;PEDRO ALEXANDRE MEDEIROS DE SOUZA;719.148;49449;68.76;93;0.593;12.05;192896116.51;186358349.8;24529.96
São Caitano;2613107;sãocaitanense;JOSAFA ALMEIDA LIMA;382.483;37126;97.07;97.2;0.591;15.84;141003297.03;139284774.8;11941.92
São João;2613206;sãojoanense;JOSE WILSON FERREIRA DE LIMA;258.519;23837;92.21;96.3;0.57;19.66;106972025.78;108047044.2;16964.2
São Joaquim do Monte;2613305;sãojoaquinense;EDUARDO JOSÉ DE OLIVEIRA LINS;227.385;20037;88.12;94.2;0.537;21.28;99502219.77;88157720.89;8650.9
São José da Coroa Grande;2613404;sãojosécoroagrandense;JAZIEL GONSALVES LAGES;69.184;18825;272.1;95.8;0.608;15.38;101988283.43;105864787;13307.45
São José do Belmonte;2613503;belmontense;FRANCISCO ROMONILSON MARIANO DE MOURA;1474.086;34843;23.64;96.2;0.61;10.08;149805867.59;168978919.5;10021.24
São José do Egito;2613602;egipsiense;EVANDRO PERAZZO VALADARES;774.037;31004;40.05;98.9;0.635;14.81;140065553.15;124789552.2;12894.4
São Lourenço da Mata;2613701;sãolourensense;VINÍCIUS LABANCA;263.687;111249;421.9;97.1;0.653;13.49;323294088.15;345775494.9;12568.1
São Vicente Férrer;2613800;sãovicentino;MARCONE VICENTE DOS SANTOS;112.554;16677;148.17;95.2;0.549;8.58;97003642.18;84800261.49;11544.25
Serra Talhada;2613909;serratalhadense;MÁRCIA CONRADO DE LORENA E SÁ;2980.007;92228;30.95;96.7;0.661;14;328562093.58;359784951.8;19359.84
Serrita;2614006;serritense;SEBASTIAO BENEDITO DOS SANTOS;1535.19;18207;11.86;98.1;0.595;24.27;113030543.87;102861163.6;8382.02
Sertânia;2614105;sertaniense;ÂNGELO RAFAEL FERREIRA DOS SANTOS;2421.527;32811;13.55;94.6;0.613;31.61;125172754.01;140797961.4;10151.94
Sirinhaém;2614204;sirinhaense ou sirinhadoara;CAMILA MACHADO LEOCADIO LINS DOS SANTOS;374.321;37596;100.44;94.1;0.597;14.23;163743745.83;157829293.9;15423.1
Moreilândia;2614303;moreirense;VICENTE TEIXEIRA SAMPAIO NETO;404.287;10540;26.07;96.8;0.6;8.06;54775934.99;62054321.2;8074.11
Solidão;2614402;solidanense;DJALMA ALVES DE SOUZA;138.398;5210;37.65;96.9;0.585;26.67;46879852.68;43351770.39;9390.24
Surubim;2614501;surubinense;ANA CÉLIA CABRAL DE FARIAS;252.896;64120;253.54;97.8;0.635;10.01;206511404.85;218681784.4;13831.85
Tabira;2614600;tabirense;MARIA CLAUDENICE PEREIRA DE MELO CRISTOVAO;390.434;27681;70.9;97.2;0.605;13.55;105635451.63;101841113.2;10911.39
Tacaimbó;2614709;tacaimboense;ALVARO ALCANTARA MARQUES DA SILVA;227.601;13738;60.36;94.4;0.554;30.53;67353775.09;57183649.09;11614.02
Tacaratu;2614808;tacaratuense;WASHINGTON ANGELO DE ARAUJO;1264.532;23902;18.9;96.3;0.573;21.35;101546682.89;97344981.59;9530.56
Tamandaré;2614857;tamandareense;ISAIAS HONORATO DA SILVA MARQUES;213.75;23561;110.23;95.5;0.593;11.36;135958092.43;138070806.8;16595.43
Taquaritinga do Norte;2615003;norte taquaritinguense;IVANILDO MESTRE BEZERRA;475.184;24736;52.06;96.2;0.641;5.85;95091824.75;96329421.18;11354.57
Terezinha;2615102;terezinhense;MATHEUS EMIDIO DE BARROS CALADO;151.45;6513;43;95.7;0.545;;47187505.43;44780613.44;10463.31
Terra Nova;2615201;terranovense;ALINE CLEANNE FILGUEIRA FREIRE DE CARVALHO;318.709;8920;27.99;98.2;0.599;8.4;50119942.84;49181905.55;9236.21
Timbaúba;2615300;timbaubense;MARINALDO ROSENDO DE ALBUQUERQUE;287.683;46147;160.41;97.7;0.618;8.5;222363002.99;213303082.7;14197.56
Toritama;2615409;toritamense;EDILSON TAVARES DE LIMA;25.704;41137;1600.41;91.5;0.618;11.96;173347775.85;168797785.3;16237.1
Tracunhaém;2615508;tracunhaense;ALUIZIO XAVIER DA SILVA;137.321;13867;100.98;97;0.605;17.05;62626840.37;64093141.15;12746.76
Trindade;2615607;trindadense;HELBE DA SILVA RODRIGUES NASCIMENTO;295.765;30321;102.52;97.9;0.595;30.13;129300647.92;135572929.7;13472.16
Triunfo;2615706;triunfense;LUCIANO FERNANDO DE SOUSA;191.518;14705;76.78;98.4;0.67;5.24;81570647.84;78579810.96;10330.73
Tupanatinga;2615805;tupanatinguense;SEVERINO SOARES DOS SANTOS;934.801;26937;28.82;96;0.519;11.02;106533097.7;104030385.5;8172.21
Tuparetama;2615904;tuparetamense;DOMINGOS SÁVIO DA COSTA TORRES;189.509;8005;42.24;98.6;0.634;8.55;50530273.37;47677743.93;10783.76
Venturosa;2616001;venturosense;EUDES TENORIO CAVALCANTI;336.107;17251;51.33;97.5;0.592;8.3;82045117.4;83222166.65;13132.41
Verdejante;2616100;verdejantense;HAROLDO SILVA TAVARES;476.039;9169;19.26;95;0.605;22.22;56142458.96;57363560.65;8454.94
Vertente do Lério;2616183;vertentense do lério;RENATO LIMA DE SALES;73.631;7558;102.65;96.7;0.563;21.51;58033527.94;49021932.12;9840.59
Vertentes;2616209;vertentense;ROMERO LEAL FERREIRA;196.325;21959;111.85;94.1;0.582;6.87;88564031.34;84905674.74;9187.16
Vicência;2616308;vicenciense;GUILHERME DE ALBUQUERQUE MELO NUNES;228.017;26359;115.6;95.6;0.605;6.02;123005495.65;125677500.8;15789.45
Vitória de Santo Antão;2616407;vitoriense;PAULO ROBERTO LEITE DE ARRUDA;336.573;134084;398.38;96.9;0.64;8.56;554802825.68;556487269.9;32423.08
Xexéu;2616506;xexeuense;THIAGO GONÇALVES DE LIMA;110.815;11611;104.78;95;0.552;11.05;75466358.56;73138976.24;9561.92
