Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2022;Totaldespesasbrutasempenhadasreais2022;PIBpercapitareais2021
Santa Cruz do Arari;1506401;arariense;NICOLAU EURÍPEDES BELTRÃO PAMPLONA;1076.652;7445;6.91;92.8;0.557;;50257243.18;48658396.63;9150.41
Santa Izabel do Pará;1506500;izabelense;EVANDRO BARROS WATANABE;717.662;73019;101.75;98.3;0.659;15.96;221266597.08;187526432.2;12835.31
Santa Luzia do Pará;1506559;santaluziense;ADAMOR AIRES DE OLIVEIRA;1346.502;20370;15.13;91.9;0.546;18.32;90272354.59;87308194.25;9888
Santa Maria das Barreiras;1506583;barreirense;ADRIANO SALOMÃO COSTA DE CARVALHO FILHO;10330.214;16548;1.6;93.6;0.544;14.02;119067102.15;121530590.9;48203.76
Santa Maria do Pará;1506609;santamarianense;ALCIR COSTA DA SILVA;457.724;24624;53.8;98.2;0.598;7.87;90866630.73;85934541.86;14790.55
Santana do Araguaia;1506708;araguaiense;EDUARDO ALVES CONTI;11591.441;32413;2.8;90.9;0.602;11.57;309663568.94;291553360.2;18185.03
Santarém;1506807;santareno;FRANCISCO NÉLIO AGUIAR DA SILVA;17898.389;331942;18.55;97.3;0.691;16.29;1347817717.75;1245140952;20725.66
Santarém Novo;1506906;santarémnovense;THIAGO REIS PIMENTEL;229.51;6116;26.65;98.6;0.587;12.35;56280052.99;46196267.77;8838.35
Santo Antônio do Tauá;1507003;tauaense;EVANDRO CORRÊA DA SILVA;537.618;27461;51.08;98.9;0.632;21.79;114288017.75;118830863.6;14702.56
São Caetano de Odivelas;1507102;odivelense;FELIPA RODRIGUES DOS SANTOS RENDEIRO;464.166;16666;35.91;96.2;0.585;9.76;82277826.36;113361889.7;10061.58
São Domingos do Araguaia;1507151;são dominguense do araguaia;ELIZANE SOARES DA SILVA;1392.464;21092;15.15;96.1;0.594;2.85;108971352.22;112309822.6;13837.78
São Domingos do Capim;1507201;capinense;PAULO ELSON DA SILVA E SILVA;1686.765;30599;18.14;96.4;0.532;9.9;150565725.31;141035385.5;13579.38
São Félix do Xingu;1507300;xinguense;JOÃO CLEBER DE SOUZA TORRES;84212.903;65418;0.78;77.9;0.594;12.55;407534540.33;382814789.7;14802.13
