Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Logradouro;2508554;logradourense;JOSE MARINALDO DA CRUZ;42.876;4797;111.88;98.6;0.583;;34612976.1;31337287.88;11041.91
Lucena;2508604;lucenense;LEOMAX DA COSTA BANDEIRA;93.8;12560;133.9;94.4;0.583;14.78;69129128.67;73202071.35;16716.6
Mãe d'Água;2508703;mãedaguense;FRANCISCO CIRINO DA SILVA;228.676;3583;15.67;96.4;0.542;;28756189.58;25938588.19;9680.02
Malta;2508802;maltense;IGOR XAVIER DE LUCENA;172.01;6046;35.15;96.7;0.642;13.51;36585733.12;32546246.86;13865.76
Mamanguape;2508901;mamanguapense;MARIA EUNICE DO NASCIMENTO PESSOA;337.434;44599;132.17;96.5;0.585;15.67;175565809.46;166638091;17737.3
Manaíra;2509008;manairense;MANOEL VIRGULINO SIMÃO;352.025;10434;29.64;95.8;0.543;28.57;46128549.63;42904872.21;9230.77
Marcação;2509057;marcaçãoense;ELISELMA SILVA DE OLIVEIRA;122.665;8999;73.36;97.8;0.529;12.82;40623220.77;38600310.53;10938.7
Mari;2509107;mariense;ANTONIO GOMES DA SILVA;155.265;21512;138.55;98.7;0.548;11.36;95099322.18;92147040.28;11043.96
Marizópolis;2509156;marizopolense;LUCAS GONÇALVES BRAGA;69.952;6705;95.85;97.3;0.608;;47433321.14;39217218.45;12250.49
Massaranduba;2509206;massarandubense;PAULO FRACINETTE DE OLIVEIRA;209.402;14139;67.52;98.5;0.567;19.74;60111544.47;58071747.15;9262
Mataraca;2509305;mataraquense;EGBERTO COUTINHO MADRUGA;182.439;8244;45.19;98;0.536;8;64977390.13;56733268.24;27832.84
Matinhas;2509339;matinhense;BENEDITO BRAZ DA SILVA;36.522;4571;125.16;96.9;0.541;;33505829.39;29245546.65;11933.63
Mato Grosso;2509370;matogrossense;RAIMUNDO JOSE DE LIMA;85.275;2543;29.82;94.4;0.565;38.46;26263330.38;22030090.34;10801.82
Maturéia;2509396;matureense;JOSÉ PEREIRA FREITAS DA SILVA;83.053;6433;77.46;98.4;0.572;;36400829.96;31707114.79;9239.25
Mogeiro;2509404;mogeirense;ANTONIO JOSE FERREIRA;214.093;13899;64.92;98.6;0.574;17.86;68026972.93;66242385.77;12416.64
Montadas;2509503;montadense;JONAS DE SOUZA;31.793;5812;182.81;97;0.59;;35005564;33641621.41;9515.07
Monte Horebe;2509602;horebense;MARCOS ERON NOGUEIRA;116.854;4338;37.12;98.5;0.587;15.38;35163477.21;38280740.56;9877.56
Monteiro;2509701;monteirense;ANNA LORENA DE FARIAS LEITE NOBREGA;992.62;32277;32.52;97.5;0.628;13.95;148836495.29;139657104.8;18888.75
Mulungu;2509800;mulunguense;MELQUIADES JOÃO DO NASCIMENTO SILVA;187.259;8791;46.95;98.2;0.565;7.75;44644543.48;39177975.26;9852.41
Natuba;2509909;natubense;JOSE LINS DA SILVA FILHO;202.173;8945;44.24;99.3;0.541;12.2;54627313.19;47526602.92;9136.26
Nazarezinho;2510006;nazarezinhense;MARCELO BATISTA VALE;193.203;7203;37.28;96.5;0.562;14.49;39601739.35;41116923.72;9072.36
Nova Floresta;2510105;novaflorestense;JARSON SANTOS DA SILVA;47.572;9724;204.41;96.7;0.601;42.74;46320690.84;41615736.56;9384.37
Nova Olinda;2510204;novaolindense;DIOGO RICHELLI ROSAS;81.516;5787;70.99;97.4;0.573;28.99;38366701.74;36044441.14;9810.23
Nova Palmeira;2510303;novapalmeirense;AILTON GOMES MEDEIROS;314.748;4259;13.53;99.1;0.595;;31285145.16;34475985.19;9775.17
Olho d'Água;2510402;olhodaguense;JOANA SABINO DE ALMEIDA CARVALHO;580.47;6060;10.44;98;0.572;;36727295.72;33278211.21;9665.68
Olivedos;2510501;olivedense;JOSE DE DEUS ANIBAL LEONARDO;314.625;3580;11.38;98.8;0.603;22.22;30720766.32;28402230.56;10926.23
Ouro Velho;2510600;ourovelhense;AUGUSTO SANTA CRUZ VALADARES;128.11;2918;22.78;92.3;0.614;;34335531.25;28982567.34;12542.35
Parari;2510659;parariense;GENIVAL AIRES DE QUEIROZ FILHO;207.814;1720;8.28;99.5;0.584;;28088446.33;21238021.67;12304.05
Passagem;2510709;passagense;JOSIVALDO ALEXANDRE DA SILVA;123.422;2463;19.96;97.7;0.62;;26390329.32;23446412.97;11765.11
Patos;2510808;patoense;NABOR WANDERLEY DA NÓBREGA FILHO;472.892;103165;218.16;97.8;0.701;10.16;399128973.94;377664328.2;18329.13
Paulista;2510907;paulistense;VALMAR ARRUDA DE OLIVEIRA;577.379;11834;20.5;96;0.587;16.95;69025595.56;68539458.67;12651.17
Pedra Branca;2511004;pedrabranquense;JOSEMARIO BASTOS DE SOUZA;116.873;3739;31.99;97.9;0.599;19.23;34093410.96;28226994.76;9853.48
Pedra Lavrada;2511103;pedralavradense;JOSE ANTONIO VASCONCELOS DA COSTA;335.615;6859;20.44;98.8;0.574;29.41;50289801.25;48420222.83;10067.2
Pedras de Fogo;2511202;pedrasfoguense;MANOEL ALVES DA SILVA JUNIOR;406.729;29662;72.93;96.8;0.59;15.5;169300524.78;181906711.1;19452.45
Piancó;2511301;piancoense;DANIEL GALDINO DE ARAÚJO PEREIRA;576.986;16441;28.49;97.4;0.621;;84727956.85;80247977.64;12776.52
Picuí;2511400;picuíense;OLIVÂNIO DANTAS REMÍGIO;667.714;18333;27.46;97.7;0.608;8.51;97159647.05;93271457.36;11378.13
Pilar;2511509;pilarense;JOSÉ BENICÍO DE ARAÚJO NETO;103.306;12311;119.17;97.2;0.579;21.62;56551365.98;53711271.05;10111.37
Pilões;2511608;piloense;MARIA DO SOCORRO SANTOS BRILHANTE;65.574;6815;103.93;97.5;0.56;11.24;40373804.24;42976326.23;14641.92
Pilõezinhos;2511707;pilõezinhense;MARCELO MATIAS CAMELO;40.908;5329;130.27;96;0.564;;36002391.54;34142112.15;10373.93
Pirpirituba;2511806;pirpiritubense;DENILSON DE FREITAS SILVA;80.672;9340;115.78;96.6;0.595;7.63;49633040.6;39645147.64;8980.48
Pitimbu;2511905;pitimbuense;ADELMA CRISTOVAM DOS PASSOS;135.801;16751;123.35;97.3;0.57;35.53;112689564.74;104991496;22092.43
Pocinhos;2512002;pocinhense;ELIANE MOURA DOS SANTOS GALDINO;623.967;17469;28;98.2;0.591;12.35;91831060.17;86966410.92;15101.87
Poço Dantas;2512036;poçodantense;ITAMAR MOREIRA FERNANDES;97.758;3830;39.18;98.4;0.525;38.46;45490514.62;37576856.28;10376.63
Poço de José de Moura;2512077;poçomourense;PAULO BRAZ DE MOURA;94.646;4006;42.33;98.5;0.612;45.45;48257913.66;36667129.13;10717.41
Pombal;2512101;pombalense;ABMAEL DE SOUSA LACERDA;894.099;32473;36.32;95.4;0.634;16.53;145716329.91;139368788;14177.59
Prata;2512200;prataense;GENIVALDO FERNANDES DA SILVA;201.788;3915;19.4;98.9;0.608;;34204091.32;30826329.39;15167.11
Princesa Isabel;2512309;princesense;RICARDO PEREIRA DO NASCIMENTO;368.569;21114;57.29;95.7;0.606;7.46;110565737.26;110644621.3;11215
Puxinanã;2512408;puxinanaense;FELIPE GURGEL COUTINHO;71.118;14277;200.75;98.4;0.617;11.11;71075211.59;65009111.14;9987.45
Queimadas;2512507;queimadense;JOSE CARLOS DE SOUSA RÊGO;402.748;47658;118.33;96.6;0.608;10.97;201203527.11;184577210.3;13646.91
Quixaba;2512606;quixabense;CLÁUDIA MACÁRIO LOPES;147.158;1743;11.84;99;0.622;;25941363.69;22073161.58;13312.85
Remígio;2512705;remigioense;FRANCISCO ANDRÉ ALVES;183.459;17885;97.49;97.1;0.607;8.62;86181605.09;87169034.66;9080.26
Pedro Régis;2512721;pedroregense;MICHELE RIBEIRO DE OLIVEIRA;74.216;5766;77.69;99.1;0.542;35.71;34724686.2;30570008.77;9315.19
Riachão;2512747;riachãoense;MARIA DA LUZ DOS SANTOS LIMA;85.291;2927;34.32;98.8;0.574;;33584258.69;27766108.21;9997.84
Riachão do Bacamarte;2512754;riachonense;JOSE DE ARIMATEA DA SILVA;40.281;4690;116.43;96.9;0.553;;45911864.33;39846139.38;10982.25
Riachão do Poço;2512762;riachãoense;MARIA AUXILIADORA DIAS DO REGO;40.46;4738;117.1;97.4;0.555;16.13;36482202.58;34764035.03;12291.97
Riacho de Santo Antônio;2512788;riachoantoniense;GILSON GONÇALVES DE LIMA;93.654;1955;20.87;98;0.594;;30587705.46;24110235.6;15288.7
Riacho dos Cavalos;2512804;riachoense;FRANCISCO EUDES VIEIRA DE ARAUJO;262.532;8493;32.35;97.1;0.568;20.41;44743884.42;42079947.96;10822.34
Rio Tinto;2512903;riotintense;MAGNA CELI FERNANDES GERBASI;465.24;24581;52.84;97.6;0.585;17.18;104303367.63;91211379.72;13272.79
Salgadinho;2513000;salgadinhense;MARCOS ANTONIO ALVES;179.005;3355;18.74;97.6;0.563;48.78;32336029.75;29152705.69;8413.51
Salgado de São Félix;2513109;salgadense;JONI MARCOS SOUZA DE OLIVEIRA;204.079;11505;56.38;97.3;0.568;14.6;56950344.95;51703772.65;10610.87
Santa Cecília;2513158;ceciliense;JOSE MACÍLIO FARIAS DA SILVA;217.577;7670;35.25;98.5;0.525;9.17;39783894.81;35057597.32;10059.66
Santa Cruz;2513208;santacruzense;PAULO CÉSAR FERREIRA BATISTA;217.677;5947;27.32;96.5;0.618;;36216972.39;36502760.28;9441.21
Santa Helena;2513307;santahelenense;JOAO CLEBER FERREIRA LIMA;211.143;5865;27.78;98.5;0.609;49.18;45752275.92;40929305.22;10620.57
Santa Inês;2513356;santineense;FELIX HENRIQUE LEITE VIEIRA;327.635;3227;9.85;96.2;0.572;;27529202.26;23959343.96;10235.53
Santa Luzia;2513406;santaluziense;JOSÉ ALEXANDRE DE ARAÚJO;440.766;14959;33.94;97.8;0.682;11.63;80264655.23;89226680.29;24065.43
Santana de Mangueira;2513505;santanense;NERIVAL INÁCIO DE QUEIROZ;405.164;5010;12.37;94.5;0.535;;34208062.74;29135587.61;10012.95
