Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2021;Totaldespesasbrutasempenhadasreais2021;PIBpercapitareais2021
Campo Redondo;2402105;camporedondense;RENAM LUIZ DE ALENCAR CARVALHO;213.727;10215;47.79;96.1;0.626;36.04;56009447.35;53731783.17;9413.69
Canguaretama;2402204;canguaretamense;WELLINSON CARLOS DANTAS RIBEIRO;245.485;29668;120.85;97.6;0.579;12.08;147443788.07;137101041.8;17397.55
Caraúbas;2402303;caraubense;ANTÔNIO ALVES DA SILVA;1095.803;19727;18;98.7;0.638;9.01;111493664.2;100465802.2;18149.44
Carnaúba dos Dantas;2402402;carnaubense;GILSON DANTAS DE OLIVEIRA;246.308;7992;32.45;97.8;0.659;;40570878.42;37233576.4;14267.01
Carnaubais;2402501;carnaubaense;MARINEIDE MARINHO PEREIRA DINIZ;517.737;9714;18.76;97.5;0.589;12.99;72215697.63;65846914.8;19226.26
CearáMirim;2402600;cearámiriense;JULIO CESAR SOARES CAMARA;724.838;79115;109.15;95.5;0.616;7.74;298450458.61;270881490.9;13494.44
Cerro Corá;2402709;cerrocoraense;RAIMUNDO MARCELINO BORGES;393.573;11000;27.95;98.1;0.607;;52236826.6;49902308.8;12557
Coronel Ezequiel;2402808;coronelezequielense;CLAUDIO MARQUES DE MACÊDO;185.748;5117;27.55;99;0.587;15.87;30910734.01;27697098.79;9545.02
Coronel João Pessoa;2402907;pessoense;MARIA DE FÁTIMA ALVES DA COSTA;117.139;4237;36.17;96;0.578;85.11;33622828.02;34025838.01;9794.12
Cruzeta;2403004;cruzetense;JOAQUIM JOSÉ DE MEDEIROS;295.83;8005;27.06;99.3;0.654;15.87;48973481.63;46717214.18;15454.6
Currais Novos;2403103;curraisnovense;ODON OLIVEIRA DE SOUZA JÚNIOR;864.349;41313;47.8;97.8;0.691;8.95;158226108.47;144096286.9;17863.07
Doutor Severiano;2403202;severianense;FRANCISCO NERI DE OLIVEIRA;113.737;7044;61.93;97.6;0.621;11.36;52171014.63;42095351.89;11114.41
Parnamirim;2403251;parnamirinense;ROSANO TAVEIRA DA CUNHA;124.006;252716;2037.93;97.9;0.766;9.72;906843634.21;831224148.7;25121.67
Encanto;2403301;encantense;ALBERONE NERI DE OLIVEIRA LIMA;125.749;6016;47.84;97.5;0.629;;36541675.41;32135926.77;10934.35
Equador;2403400;equadoense;CLETSON RIVALDO DE OLIVEIRA;264.985;5360;20.23;98.9;0.623;;35307022.47;31174373.56;13518.66
Espírito Santo;2403509;espíritosantense;FERNANDO LUIZ TEIXEIRA DE CARVALHO;135.838;10620;78.18;95.5;0.558;11.36;47932461.69;46800971.17;9326.78
Extremoz;2403608;extremozense;JUSSARA SALES DE SOUZA;140.639;61635;438.25;96.6;0.66;14.01;199939978.99;193621710.6;19480.39
Felipe Guerra;2403707;felipeguerrense;SALOMAO GOMES DE OLIVEIRA;268.591;5944;22.13;99.2;0.636;;57596787.22;52263214.16;28927.71
Fernando Pedroza;2403756;fernandopedrozense;SANDRA JAQUELINE JOTA RIBEIRO;322.628;2938;9.11;95.3;0.597;;33118827.32;28926237.35;12680.91
Florânia;2403806;floraniense;SAINT CLAY ALCANTARA SILVA DE MEDEIROS;507.892;10196;20.08;97.7;0.642;9.71;40155472.65;36612404.43;12330.46
Francisco Dantas;2403905;franciscodantense;JOSÉ ADOLFO DA SILVEIRA NETO;181.558;2700;14.87;97.8;0.606;68.97;24363351.84;23030486.51;11695.31
Frutuoso Gomes;2404002;frutuosogomense;JANDIARA SINARA JÁCOME CAVALCANTE;63.279;4122;65.14;98.3;0.597;;26857711.09;23517175.13;11186.02
Galinhos;2404101;galinhense;FRANCINALDO SILVA DA CRUZ;340.769;2104;6.17;99.5;0.564;34.48;45051203.93;41538207.38;56016.95
Goianinha;2404200;goianiense;HOSANIRA GALVÃO;192.279;26741;139.07;98.1;0.638;11.93;152024500.74;143013566.3;20240.57
Governador DixSept Rosado;2404309;dixseptiense;ARTUR RODRIGUES DO VALE COSTA;1129.55;11938;10.57;96.7;0.592;8.7;80269495.62;72783013.16;29451.9
Grossos;2404408;grossense;CINTHIA SONALE SILVA ALVES E SOUZA;124.538;9924;79.69;97.8;0.664;20.62;62107565.87;55816824.62;15018.53
Guamaré;2404507;guamareense;ARTHUR HENRIQUE DA FONSECA TEIXEIRA;258.307;15295;59.21;96.8;0.626;7.81;287112207.04;287092360.3;125585.4
Ielmo Marinho;2404606;ielmomarinhense;ROSSANE MARQUES LIMA PATRIOTA;312.028;11615;37.22;95.8;0.55;7.25;70133438.94;61211031.08;10027.88
Ipanguaçu;2404705;ipanguaçuense;VALDEREDO BERTOLDO DO NASCIMENTO;374.245;14131;37.76;97.6;0.603;18.18;64380855.59;60107699.06;12469.1
Ipueira;2404804;ipueirense;JOSÉ MORGÂNIO PAIVA;127.348;2035;15.98;98.1;0.679;;26262732.02;22222795.46;15428.38
Itajá;2404853;itajaense;ALAOR FERREIRA PESSOA NETO;203.624;7292;35.81;98;0.624;14.49;48143827.38;40487330.9;13014.65
Itaú;2404903;itauense;FRANCISCO ANDRÉ REGIS JÚNIOR;133.031;5320;39.99;98.4;0.614;;35541608.91;34149867.95;12471.65
Jaçanã;2405009;jaçanãense;UADY ANTÔNIO DE FARIAS;54.561;7834;143.58;98.6;0.604;;36367490.93;30842364.76;9248.51
Jandaíra;2405108;jandairense;MARINA DIAS MARINHO;442.754;6562;14.82;98.3;0.569;12.5;55621257.33;61790761.8;14685.2
Janduís;2405207;janduiense;SALOMAO GURGEL PINHEIRO;303.448;4746;15.64;97.4;0.615;19.23;33866813.67;30018116.33;16162.7
Januário Cicco;2405306;januarense;JOSE WELLINGTON ALVES ROCHA;170.737;9051;53.01;96.4;0.574;19.42;48829467.94;46995970.07;8189.45
Japi;2405405;japiense;SIMONE FERNANDES DA SILVA;188.99;5117;27.08;97.8;0.569;;31554767.86;27704091.7;10445.41
Jardim de Angicos;2405504;jardimangicanense;CARLOS ANDRE CAMARA BEZERRA;254.022;2437;9.59;97.1;0.565;28.57;28651165.23;26231965.02;24766.12
Jardim de Piranhas;2405603;piranhense;ROGÉRIO SOARES;330.53;13977;42.29;96.5;0.603;11.76;67027424.4;59987496.38;14179.47
Jardim do Seridó;2405702;jardinense;JOSÉ AMAZAN SILVA;367.645;11655;31.7;99.6;0.663;22.47;50895573.01;43533946.98;16777.7
João Câmara;2405801;camarense;MANOEL DOS SANTOS BERNARDO;714.961;33290;46.56;97.8;0.595;5.66;161266730.53;162073259.3;35911.78
João Dias;2405900;joãodiense;FRANCISCO DAMIÃO DE OLIVEIRA;88.173;2076;23.54;87.8;0.53;;23471197.91;26067122.75;10550.88
José da Penha;2406007;josépenhense;RAIMUNDO NONATO FERNANDES;117.635;5803;49.33;98.3;0.608;;36094453.86;32550183.08;11347.37
Jucurutu;2406106;jucurutuense;IOGO NIELSON DE QUEIROZ E SILVA;933.73;17793;19.06;98.5;0.601;27.17;86357471.79;77936416.72;17226.13
Jundiá;2406155;jundiaense;JOSÉ ARNOR DA SILVA;44.641;3739;83.76;97;0.595;;29214281.88;25845150.66;10683.94
Lagoa d'Anta;2406205;lagoadantense;JOÃO PAULO GUEDES LOPES;105.652;6654;62.98;95.7;0.601;;36050854.71;33036356.81;10339.92
Lagoa de Pedras;2406304;lagoapedrense;GUILHERME AFFONSO MELO AMÂNCIO DA SILVA;117.971;7338;62.2;98.8;0.553;;36208460.52;37611332.88;10674.5
Lagoa de Velhos;2406403;lagoavelhense;SONYARA DE SOUZA RIBEIRO FERREIRA;111.607;2567;23;97.5;0.589;31.25;30792330.61;27342368.16;13997.62
Lagoa Nova;2406502;lagoanovense;LUCIANO SILVA SANTOS;176.302;15573;88.33;95.5;0.585;17.94;79392603.05;72881738.62;16941.79
Lagoa Salgada;2406601;lagoasalgadense;OSIVAN SÁVIO NASCIMENTO QUEIROZ;79.128;8319;105.13;96;0.582;23.62;40283668.86;38390535.33;11297.65
