Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Terra Roxa;3554409;terraroxense;WALDYR MÔNACO FILHO;221.541;7904;35.68;98.9;0.749;;45325619.57;44697022.79;18410.36
Tietê;3554508;tieteense;VLAMIR DE JESUS SANDEI;404.396;37663;93.13;97.1;0.778;9.11;244271457.42;252500860.8;50258.52
Timburi;3554607;timburiense;SILVIO CESAR SAVOGIN POLO;196.79;2464;12.52;99.7;0.71;;33158222.79;29148105.69;25047.71
Torre de Pedra;3554656;torrepedrense;CIRO LUIZ PEDROSO;71.348;2046;28.68;98.4;0.714;;27548000.75;26067649.46;15524.93
Torrinha;3554706;torrinhense;RENE JOSE BLUMER;315.267;9335;29.61;96.4;0.744;;57864033.92;54634840.32;28177.45
Trabiju;3554755;trabijuense;MARCELO RODRIGUES FONSECA;63.421;1682;26.52;98.4;0.722;52.63;25439857.65;23141585.36;25639
Tremembé;3554805;tremembeense;CLEMENTE ANTONIO DE LIMA NETO;191.094;51173;267.79;97.8;0.785;8.85;228221598.67;210423186.7;18591.56
Três Fronteiras;3554904;trifonteirano;RUBENS JOSE BELÃO;151.594;6804;44.88;98.8;0.753;;39218686.96;36593318.73;20839.4
Tuiuti;3554953;tuiutiense;ANDERSON SANTOS CORREIA;126.731;6778;53.48;97.3;0.728;;36584291.15;36158745.93;25756.65
Tupã;3555000;tupãense;CAIO KANJI PARDO AOQUI;627.986;63928;101.8;97.3;0.771;6.69;304668577.03;294665886.6;33732.18
Tupi Paulista;3555109;tupiense;ALEXANDRE TASSONI ANTONIO;244.77;15854;64.77;99.4;0.769;;83827383.75;82725707.84;21720.31
Turiúba;3555208;turiubano;RUBENS FERNANDO DE SOUZA;153.235;1818;11.86;100;0.751;66.67;30257846.64;29035274.17;27877.78
Turmalina;3555307;turmalinense;ALEXANDRO RIBEIRO PEREIRA;147.797;1669;11.29;97.1;0.736;;30345247.37;28861349.68;44206.07
Ubarana;3555356;ubaranense;GOMIDES FERRAZ NETO;209.861;5365;25.56;99.7;0.7;18.18;52454184.2;50367765.63;32774.2
Ubatuba;3555406;ubatubano;FLAVIA CÔMITTE DO NASCIMENTO;708.105;92981;131.31;97.7;0.751;10.53;662585496.51;618940133.8;29152.88
Ubirajara;3555505;ubirajarense;ADRIANA BOCARDI ALLEGRETTI;282.179;5132;18.19;98.9;0.727;27.4;37207576.7;33413557.56;23709.14
Uchoa;3555604;uchoense;JOSÉ CLAUDIO MARTINS;252.434;10394;41.18;98.2;0.721;31.25;70409269.24;72224314.54;39430.92
União Paulista;3555703;uniãopaulistense;KENDREA ALVES PAPILE CAVATÃO;79.056;1603;20.28;96.8;0.749;;28772978.13;24474460.53;30538.05
Urânia;3555802;uraniense;MARCIO ARJOL DOMINGUES;209.262;8833;42.21;100;0.746;11.76;43983529.37;46008286.77;31344.02
Uru;3555901;uruense;ROBSON EDUARDO FORTE;146.901;1387;9.44;95.1;0.712;;28263799.1;24553136.27;40623.52
Urupês;3556008;urupeense;ALCEMIR CÁSSIO GRÉGGIO;323.916;13744;42.43;99.1;0.745;22.06;91094946.94;86706349.96;34609.7
Valentim Gentil;3556107;valentimgentilense;ADILSON JESUS PEREZ SEGURA;149.741;14098;94.15;98.8;0.735;6.02;78374985.54;77129122.62;31863.26
Valinhos;3556206;valinhense;LUCIMARA GODOY VILAS BOAS;148.538;126373;850.78;97.2;0.819;11.35;1017742943.31;1076608998;59842.76
Valparaíso;3556305;valparaisense;CARLOS ALEXANDRE PEREIRA;857.661;24241;28.26;98;0.725;11.72;165044886.16;149980939.2;45529.09
Vargem;3556354;vargense;LEODECIO ALVES DE LIMA;142.595;10512;73.72;98.1;0.699;8.2;53980520.38;58222282.56;14148.82
Vargem Grande do Sul;3556404;vargemgrandense;AMARILDO DUZI MORAES;267.178;40133;150.21;98.8;0.737;8.6;205333833.97;216650320.2;29684.07
Vargem Grande Paulista;3556453;vargemgrandense;JOSUE SILVEIRA RAMOS;42.489;50415;1186.54;97.2;0.77;8.96;305049741.12;321818139.3;53359.16
Várzea Paulista;3556503;varzino;RODOLFO WILSON RODRIGUES BRAGA;35.12;115771;3296.44;96.9;0.759;13.16;469574174.09;500887314.5;31913.34
Vera Cruz;3556602;veracruzense;RODOLFO SILVA DAVOLI;247.716;10176;41.08;99;0.754;9.09;59211460.88;47961690.34;22231.9
Vinhedo;3556701;vinhedense;DARIO PACHECO DE MORAIS;80.95;76540;945.52;97.5;0.817;5.68;873081884.2;864024627.2;154054.53
Viradouro;3556800;viradourense;ANTONIO CARLOS RIBEIRO DE SOUZA;217.726;17414;79.98;98.4;0.739;9.48;111367231.42;106845539.1;23190.53
Vista Alegre do Alto;3556909;vistaalegrense;LUIS ANTONIO FIORANI;95.429;8109;84.97;100;0.744;13.89;61446127.49;57451056.05;46388.5
Vitória Brasil;3556958;vitoriabrasiliense;PAULO HENRIQUE MIOTTO;49.832;1794;36;98.5;0.725;38.46;24589607.12;21669151;24394.51
Votorantim;3557006;votorantinense;FABIOLA ALVES DA SILVA PEDRICO;184.186;127923;694.53;97.8;0.767;12.57;591225865.31;640504674;31487.9
Votuporanga;3557105;votuporanguense;JORGE AUGUSTO SEBA;420.703;96634;229.7;98.8;0.79;10.25;581132723.45;527043868.2;40190.41
Zacarias;3557154;zacariense;HEDER JEAN BRUNO DE OLIVEIRA;319.056;2692;8.44;98.6;0.729;;45559837.13;41378926.32;46763.19
Chavantes;3557204;chavantense;MARCIO BURGUINHA DE JESUS DO REGO;188.727;12211;64.7;98.6;0.729;21.74;68861543.65;67976116.6;21448.28
Estiva Gerbi;3557303;estivense;CLAUDIA BOTELHO DE OLIVEIRA DIEGUES;74.144;11295;152.34;98.6;0.74;;77692260.01;66308785.4;33843.06
