Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Pimenteiras do Oeste;1101468;pimenteirense;VALERIA APARECIDA MARCELINO GARCIA;6014.733;2156;0.36;93.8;0.665;;43366698.19;42234286.5;115753.94
Primavera de Rondônia;1101476;primaverense;EDUARDO BERTOLETTI SIVIERO;605.692;3076;5.08;98.6;0.641;50;38725195.96;33913500.54;39684.71
São Felipe D'Oeste;1101484;sãofelipense;SIDNEY BORGES DE OLIVEIRA;541.647;5258;9.71;98.7;0.649;;56704453.93;44160745.9;26335.31
São Francisco do Guaporé;1101492;sãofrancisquense;ALCINO BILAC MACHADO;10948.593;16286;1.49;95.7;0.611;24.48;126617942.68;102512284.7;23143.16
Seringueiras;1101500;seringueinense;ARMANDO BERNARDO DA SILVA;3773.505;11171;2.96;95.9;0.598;10.7;78159845.67;66348924.93;28109.66
Teixeirópolis;1101559;teixeirense;ANTONIO ZOTESSO;459.978;4256;9.25;99.2;0.643;;38338336.69;36484992.96;29158.81
Theobroma;1101609;theobromense;GILLIARD DOS SANTOS GOMES;2197.413;8113;3.69;98.4;0.589;10.99;69617298.8;59387322.12;24876.86
Urupá;1101708;urupaense;CELIO DE JESUS LANG;831.857;10725;12.89;96.6;0.609;12.42;83703828.86;68288008.65;24682
Vale do Anari;1101757;anariense;ANILDO ALBERTON;3135.106;7788;2.48;94.8;0.584;24.69;58221125.31;45316617.2;19106.79
Vale do Paraíso;1101807;valeparaisense;POLIANA DE MORAES SILVA GASQUI PERRETA;965.676;6479;6.71;97.5;0.627;35.71;47093752.83;42659071.59;28605.27
