Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Campo Maior;2202208;campomaiorense;JOÃO FÉLIX DE ANDRADE FILHO;1680.861;45793;27.24;98.3;0.656;7.83;236300756.66;237701675.2;15034.35
Canavieira;2202251;canavieirense;JOAN DE ALBUQUERQUE ROCHA;2165.277;3414;1.58;99.6;0.583;27.03;26858727.17;23572875.48;10652.17
Canto do Buriti;2202307;cantoburitiense;MARCUS FELLIPE NUNES ALVES;4325.643;19365;4.48;96.6;0.576;13.75;92783668.89;87749989.65;12725.69
Capitão de Campos;2202406;capitãodecampense;FRANCISCO MEDEIROS DE CARVALHO FILHO;571.658;11100;19.42;98.6;0.583;8.13;68305904.8;63939011.61;9276.42
Capitão Gervásio Oliveira;2202455;gervasense;GABRIELA OLIVEIRA COELHO DA LUZ;1132.995;3974;3.51;98.7;0.553;;2457383.94;5901386.7;10582.72
Caracol;2202505;caracolense;GILSON DIAS DE MACEDO FILHO;1610.959;10318;6.4;96.6;0.552;6.94;49378099.91;45241335.92;8855.03
Caraúbas do Piauí;2202539;caraubense;JOÃO COELHO DE SANTANA;471.217;5630;11.95;93.9;0.505;;34483901.17;34566985.9;9718.63
Caridade do Piauí;2202554;caridadense;ANTONIEL DE SOUSA SILVA;498.793;5033;10.09;99.4;0.541;25.32;49676552.29;41276555.89;9806.1
Castelo do Piauí;2202604;castelense;JOSE MAGNO SOARES DA SILVA;2378.847;19288;8.11;98;0.587;23.7;104151618.59;97363542.59;10267.96
Caxingó;2202653;caxingoense;MAGNUM FERNANDO CARDOSO DOS SANTOS;491.093;5496;11.19;96.8;0.488;21.51;34695114.94;30344223.45;9702.47
Cocal;2202703;cocalense;RAIMUNDO NONATO FONTENELE CARDOSO;1294.133;28212;21.8;96.2;0.497;15.27;109838778.24;104773127.7;9776.23
Cocal de Telha;2202711;cocatelhense;KARYNE ARAGÃO CANSANÇÃO;310.291;4911;15.83;98.8;0.555;16.13;32329998.49;31865645.56;9568.33
Cocal dos Alves;2202729;cocalalvense;OSMAR DE SOUSA VIEIRA;324.856;6386;19.66;96.3;0.498;;30722108.05;28312229.45;9216.79
Coivaras;2202737;coivarense;MARCELINO ALMEIDA DE ARAUJO;484.46;4117;8.5;98.1;0.565;22.22;28130953.69;25599668.93;9324.45
Colônia do Gurguéia;2202752;coloniense;SILZO BEZERRA DA SILVA;429.591;6150;14.32;98.8;0.628;15.15;35387189.4;32733998.46;10780.57
Colônia do Piauí;2202778;coloniense;SELINDO MAURO CARNEIRO TAPETI SEGUNDO;950.193;6994;7.36;98.6;0.588;;31563126.69;28780304.23;8886.02
Conceição do Canindé;2202802;conceiçãonense;ALCIMIRO PINHEIRO DA COSTA;824.729;4932;5.98;96.8;0.589;;25556708.1;23711921.25;12564.06
Coronel José Dias;2202851;coronelino;RAFAEL OLIVEIRA DA SILVA;1926.103;4250;2.21;96.9;0.546;20.41;26205829.77;24792329.74;8694.47
Corrente;2202901;correntino;GLADSON MURILO MASCARENHAS RIBEIRO;3048.747;27278;8.95;97.3;0.642;16.06;127938303.94;151422501.6;25426.51
Cristalândia do Piauí;2203008;cristalandense;MOISÉS DA CUNHA LEMOS FILHO;1202.896;7356;6.12;96.9;0.573;31.25;45609479.91;41023906.42;8990.27
Cristino Castro;2203107;cristinocastrense;FELIPE FERREIRA DIAS;1845.698;10503;5.69;97.9;0.566;7.63;66366922.83;57382100.66;11616.02
Curimatá;2203206;curimataense;VALDECIR RODRIGUES DE ALBUQUERQUE JÚNIOR;2344.949;11270;4.81;97.6;0.607;27.93;53672756.54;48259170.32;12336.59
Currais;2203230;curralense;RAIMUNDO MARTINS DE SOUSA SANTOS SOBRINHO;3156.657;4854;1.54;98.6;0.542;;36543541.69;33647611.83;82098.16
Curralinhos;2203255;curralinhense;EVERARDO LIMA ARAUJO;345.811;4413;12.76;84.7;0.555;15.38;35525110.9;32926845.14;8862.51
Curral Novo do Piauí;2203271;curral novense;ABEL FRANCISCO DE OLIVEIRA JUNIOR;755.251;5073;6.72;95.6;0.527;10.53;44550052.62;41418145.71;14544.26
Demerval Lobão;2203305;morrinhense;RICARDO DE MOURA MELO;216.807;16352;75.42;97.9;0.618;3.98;94056218.14;89773496.88;15267.54
Dirceu Arcoverde;2203354;arcoverdense;FRANCISCO CARLOS DA MOTA;1005.571;7054;7.01;97.5;0.561;11.76;40673054.88;39768804.45;9578.83
Dom Expedito Lopes;2203404;domexpeditolopense;MARIA RENATA ALVES DE SOUSA;218.808;6320;28.88;98.5;0.601;12.05;32123283.56;28419844.96;11245.65
Domingos Mourão;2203420;domingosmouronense;MARIA IRINELDA GOMES DE OLIVEIRA SILVA;848.705;4075;4.8;95.8;0.55;19.23;33074336.9;30026556.77;10692.03
Dom Inocêncio;2203453;inocentino;MARIA DAS VIRGENS DIAS;3871.824;9159;2.37;98.4;0.549;;57267404.3;54885794.63;17165.89
Elesbão Veloso;2203503;elesbonense;RAFAEL MALTA BARBOSA;1383.976;13607;9.83;98.9;0.58;41.1;53169575.25;49393711.82;11321.73
Eliseu Martins;2203602;eliseumartinino;ALDIMAR DE SOUSA DIAS;1097.79;4377;3.99;98.4;0.595;;29247957.75;26010160.94;11246.54
Esperantina;2203701;esperantinense;IVANÁRIA DO NASCIMENTO ALVES SAMPAIO;908.748;40970;45.08;97.5;0.605;9.88;184449131.06;168774216.4;11427.08
Fartura do Piauí;2203750;farturense;ORLANDO COSTA CAMPINHO BRAGA;713.046;5284;7.41;96.3;0.548;;39479153.56;37285464.43;8775.69
Flores do Piauí;2203800;florentinodopiauí;EVANDRO FERREIRA DA COSTA;946.719;4414;4.66;99;0.547;;28662473.52;28352137.07;10786.85
Floresta do Piauí;2203859;florestense;AMILTON RODRIGUES DE SOUSA;223.199;2333;10.45;99.3;0.538;47.62;35070017.31;28329911.14;9862.71
Floriano;2203909;florianense;ANTÔNIO REIS NETO;3407.979;62036;18.2;98.1;0.7;13.87;310557287.13;286701778.6;24441.02
