Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarização6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Mendes;3302809;mendense;JORGE HENRIQUE COSTA DE OLIVEIRA;95.324;17502;183.61;99.3;0.736;13.79;146168376.14;146390848.3;19147.47
Mesquita;3302858;mesquitnese;JORGE LUCIO FERREIRA MIRANDA;41.169;167127;4059.54;97.9;0.737;13.05;605572509;568570126.4;14796.57
Miguel Pereira;3302908;miguelense;ANDRÉ PINTO DE AFONSECA;287.933;26582;92.32;98.6;0.745;8.2;300543321.93;326025662.6;24686.21
Miracema;3303005;miracemense;CLÓVIS TOSTES DE BARROS;303.27;26881;88.64;97.5;0.713;2.84;180104706.46;188971597.3;24404.52
Natividade;3303104;natividadense;SEVERIANO ANTONIO DOS SANTOS REZENDE;387.073;15074;38.94;98.6;0.73;6.13;95854782.07;144694963.9;21186.94
Nilópolis;3303203;nilopolitano;ABRAÃO DAVID NETO;19.393;146774;7568.4;96.7;0.753;24.43;391689711.41;507392863.4;18782.18
Niterói;3303302;niteroiense;AXEL SCHMIDT GRAEL;133.757;481749;3601.67;97;0.837;11.4;6015119139.84;5303439600;128333.01
Nova Friburgo;3303401;friburguense;JOHNNY MAYCON CORDEIRO RIBEIRO;935.429;189939;203.05;98.7;0.745;7.08;839506632.38;841562897.2;33000.12
Nova Iguaçu;3303500;iguaçuano;ROGERIO MARTINS LISBOA;520.581;785867;1509.6;96.2;0.713;16;2511471372.96;2746121542;21559.06
Paracambi;3303609;paracambiense;LUCIMAR CRISTINA DA SILVA FERREIRA;190.949;41375;216.68;96.1;0.72;2.19;161861521.11;231539277.3;21902.8
Paraíba do Sul;3303708;sulparaibano;DAYSE DEBORAH ALEXANDRE NEVES;571.118;42063;73.65;98.6;0.702;13.95;272108096.76;294976924;28006.34
Paraty;3303807;paratiense;LUCIANO DE OLIVEIRA VIDAL;924.296;45243;48.95;93.8;0.693;10.12;511496088.99;515143605.1;44262.66
Paty do Alferes;3303856;patiense;EURICO PINHEIRO BERNARDES NETO;314.341;29619;94.23;97.7;0.671;11.27;221931738.98;223401966.8;24510.16
Petrópolis;3303906;petropolitano;RUBENS JOSÉ FRANÇA BOMTEMPO;791.144;278881;352.5;97.4;0.745;14.02;1987575168.93;1968360439;51003.6
Pinheiral;3303955;pinheiralense;EDNARDO BARBOSA OLIVEIRA;82.254;24298;295.4;96.7;0.715;8.13;179781401.51;174855798.2;56826.17
Piraí;3304003;piraiense;ARTHUR HENRIQUE GONÇALVES FERREIRA;490.255;27474;56.04;97.7;0.708;11.4;343948140.38;346536148.3;82208.92
Porciúncula;3304102;porciunculense;LEONARDO PAES BARRETO COUTINHO;291.847;17288;59.24;99.1;0.697;15.08;146108554.43;159897033.3;21814.01
Porto Real;3304110;porto realense;ALEXANDRE AUGUSTUS SERFIOTIS;50.892;20373;400.32;98.9;0.713;;250199089.1;226462885.8;209624.88
Quatis;3304128;quatiense;ALUÍSIO MAX ALVES D ELIAS;284.826;13682;48.04;97.6;0.69;23.44;138283821.27;133623161.5;20945.97
Queimados;3304144;queimadense;GLAUCO BARBOSA HOFFMAN KAIZER;75.927;140523;1850.76;95.7;0.68;14.33;513313536.94;509034034.4;28636.92
Quissamã;3304151;quissamaense;MARIA DE FÁTIMA PACHECO;719.643;22393;31.12;98.5;0.704;10;500754054.99;562116960.2;234850.73
Resende;3304201;resendense;DIOGO GONÇALVES BALIEIRO DINIZ;1099.336;129612;117.9;97;0.768;16.87;982774300.53;928747604.4;80712.15
Rio Bonito;3304300;riobonitense;LEANDRO PEREIRA NETTO;459.458;56276;122.48;97.2;0.71;13.01;371746538.18;493682175.7;30057.69
Rio Claro;3304409;rioclarense;JOSE OSMAR DE ALMEIDA;846.797;17401;20.55;97.7;0.683;21.86;219871058.51;212196434.3;23342.67
